client_id	path	sentence	up_votes	down_votes	age	gender	accents	locale	segment
25bc975d06200b7b1c9135db090561cb0d9b28d172e51c6826f9e665a3ba7bddda6ec0c6c09102f5d1d4ec99cd094b9c91ad0141e49341246bc6eb2e7167f2e7	common_voice_zh-CN_19703883.mp3	模式种采样自台湾龟山岛。	1	0	thirties	female	出生地：31 上海市	zh-CN	
25bc975d06200b7b1c9135db090561cb0d9b28d172e51c6826f9e665a3ba7bddda6ec0c6c09102f5d1d4ec99cd094b9c91ad0141e49341246bc6eb2e7167f2e7	common_voice_zh-CN_19706151.mp3	后者娶天之瓮主神。	1	0	thirties	female	出生地：31 上海市	zh-CN	
faa0ecc626e80638016d6295b5018372b8567f5f3177f68039e8049b12b555163027f6ebdeb13fd1771de64bb828ff4ff7c28d3258976a05da6b8baad061aae1	common_voice_zh-CN_19961025.mp3	贝尔卢。	1	0	twenties	male	出生地：32 江苏省	zh-CN	
0b93e3ca92f789efee5ddf320b062016fb8ec40f4f62eb3244dc578a75b2a5bd5792f600ceeb51de2f8ba2fb97d10e6fc2e04721e11b8a5a304ca6982dfeb599	common_voice_zh-CN_20010185.mp3	日本与东帝汶的关系可追溯至第二次世界大战期间。	1	0	thirties	female	出生地：13 河北省	zh-CN	
61327f8ca2a6cdf961b07e3c9e294f9472c572cd45715618070e67a68724fdfa5a637e3fe5cfb1955898cc540507dd324056c100b975e2a81ee0d5e0d5ad8140	common_voice_zh-CN_20051292.mp3	日本与东帝汶的关系可追溯至第二次世界大战期间。	0	1	twenties	male	出生地：13 河北省	zh-CN	
61327f8ca2a6cdf961b07e3c9e294f9472c572cd45715618070e67a68724fdfa5a637e3fe5cfb1955898cc540507dd324056c100b975e2a81ee0d5e0d5ad8140	common_voice_zh-CN_20051309.mp3	单县各乡镇设有卫生院或医院。	0	0	twenties	male	出生地：13 河北省	zh-CN	
189cbb6688527fccfe9108601b7af1f88ab40fb11bb1c6033d56384bd696bd5d1d632dfe0a4c503b2aff0eb687975465fba0cae92c2f410249cea3f4b1b08b42	common_voice_zh-CN_20070076.mp3	尤里二世当下便决定要在该地点建造大基捷日城。	1	0	twenties	male	出生地：41 河南省	zh-CN	
faf7f7f9023bb49ee9ef6b820502440aff03b5332add43977013511146eed9ae9882ed7fdaf2b47c85b38563998a2470eeb0ad2381783d4eca50e513e2ff0ea1	common_voice_zh-CN_20070223.mp3	毛山鼠李为鼠李科鼠李属下的一个变种。	1	0	twenties	male		zh-CN	
faf7f7f9023bb49ee9ef6b820502440aff03b5332add43977013511146eed9ae9882ed7fdaf2b47c85b38563998a2470eeb0ad2381783d4eca50e513e2ff0ea1	common_voice_zh-CN_20070263.mp3	遂吸收众多渴望消灾除难的人入道。	0	1	twenties	male		zh-CN	
189cbb6688527fccfe9108601b7af1f88ab40fb11bb1c6033d56384bd696bd5d1d632dfe0a4c503b2aff0eb687975465fba0cae92c2f410249cea3f4b1b08b42	common_voice_zh-CN_20070488.mp3	毛山鼠李为鼠李科鼠李属下的一个变种。	1	0	twenties	male	出生地：41 河南省	zh-CN	
189cbb6688527fccfe9108601b7af1f88ab40fb11bb1c6033d56384bd696bd5d1d632dfe0a4c503b2aff0eb687975465fba0cae92c2f410249cea3f4b1b08b42	common_voice_zh-CN_20070503.mp3	遂吸收众多渴望消灾除难的人入道。	1	0	twenties	male	出生地：41 河南省	zh-CN	
52f93568a9302b1e6662a670c7a026f5fc184586d28f22f58ac8e3ab936f376cc20ac820a21c0937c55f19a2396e2ffce8e21e3633be5474cf9a03ef35b4680e	common_voice_zh-CN_20163037.mp3	这项研究旨在了解一个地区的空间结构和性质。	0	0	twenties	male	出生地：21 辽宁省	zh-CN	
52f93568a9302b1e6662a670c7a026f5fc184586d28f22f58ac8e3ab936f376cc20ac820a21c0937c55f19a2396e2ffce8e21e3633be5474cf9a03ef35b4680e	common_voice_zh-CN_20163057.mp3	驯养的沙特瞪羚的基因分析显示它们有可能是不同的物种或混种。	0	0	twenties	male	出生地：21 辽宁省	zh-CN	
